[2017-10-21 11:42:16,292] [WARNING] [CONSUMER-48][国产剧]乾隆秘史...未绑定分类，跳过。
[2017-10-21 11:42:16,295] [WARNING] [CONSUMER-49][国产剧]武媚娘传奇浙江卫视版...未绑定分类，跳过。
[2017-10-21 11:42:16,296] [WARNING] [CONSUMER-50][喜剧片]我为什么结婚了？...未绑定分类，跳过。
[2017-10-21 11:42:16,296] [WARNING] [CONSUMER-51][日韩剧]来自星星的你...未绑定分类，跳过。
[2017-10-21 11:42:16,299] [WARNING] [CONSUMER-52][国产剧]少年四大名捕...未绑定分类，跳过。
[2017-10-21 11:42:16,299] [WARNING] [CONSUMER-53][喜剧片]有完没完...未绑定分类，跳过。
[2017-10-21 11:42:16,302] [WARNING] [CONSUMER-54][喜剧片]六福喜事...未绑定分类，跳过。
[2017-10-21 11:42:16,302] [WARNING] [CONSUMER-55][国产剧]女娲传说之灵珠...未绑定分类，跳过。
[2017-10-21 11:42:16,305] [WARNING] [CONSUMER-56][国产剧]新济公活佛完整版...未绑定分类，跳过。
[2017-10-21 11:42:16,305] [WARNING] [CONSUMER-57][国产剧]欢天喜地七仙女...未绑定分类，跳过。
[2017-10-21 11:42:16,306] [WARNING] [CONSUMER-58][国产剧]龙门镖局...未绑定分类，跳过。
[2017-10-21 11:42:16,309] [WARNING] [CONSUMER-59][国产剧]宝莲灯...未绑定分类，跳过。
[2017-10-21 11:42:16,312] [WARNING] [CONSUMER-60][喜剧片]魔力月光...未绑定分类，跳过。
[2017-10-21 11:42:16,313] [DEBUG] [PRODUCER-qiyi]page:3:crawling finished.
[2017-10-21 11:42:16,315] [INFO] [PRODUCER-qiyi]采集次数:60,新增入库:5条,新增加播放组:1条,更新播放组:0条。
[2017-10-21 11:42:16,315] [DEBUG] [PRODUCER-qiyi]page:4:crawling...http://api.2m.vc/caij/inc/qiyi.php?ac=videolist&pg=4&h=
[2017-10-21 11:42:16,694] [INFO] [CONSUMER-61][动作片]西部慢调...新加入库，成功。
[2017-10-21 11:42:16,696] [WARNING] [CONSUMER-62][喜剧片]我不是潘金莲...未绑定分类，跳过。
[2017-10-21 11:42:16,697] [WARNING] [CONSUMER-63][国产剧]新济公活佛下部...未绑定分类，跳过。
[2017-10-21 11:42:16,700] [WARNING] [CONSUMER-64][国产剧]封神榜之凤鸣岐山...未绑定分类，跳过。
[2017-10-21 11:42:16,700] [WARNING] [CONSUMER-65][国产剧]四大萌捕...未绑定分类，跳过。
[2017-10-21 11:42:16,703] [ERROR] [CONSUMER-66]...播放组不合法:{'flag': 'qiyi', 'dd': '$65yw'}
[2017-10-21 11:42:16,706] [WARNING] [CONSUMER-67][国产剧]花姑子...未绑定分类，跳过。
[2017-10-21 11:42:16,707] [WARNING] [CONSUMER-68][国产剧]伏羲女娲...未绑定分类，跳过。
[2017-10-21 11:42:16,707] [WARNING] [CONSUMER-69][日韩剧]49日...未绑定分类，跳过。
[2017-10-21 11:42:16,709] [WARNING] [CONSUMER-70][喜剧片]梦想公寓...未绑定分类，跳过。
[2017-10-21 11:42:16,723] [INFO] [CONSUMER-71][剧情片]帕洛玛之旅...新增加播放组(qiyi) 入库成功,
[2017-10-21 11:42:16,723] [WARNING] [CONSUMER-72][国产剧]春光灿烂猪九妹...未绑定分类，跳过。
[2017-10-21 11:42:16,723] [WARNING] [CONSUMER-73][国产剧]聊斋先生...未绑定分类，跳过。
[2017-10-21 11:42:16,724] [WARNING] [CONSUMER-74][国产剧]济公新传...未绑定分类，跳过。
[2017-10-21 11:42:16,726] [WARNING] [CONSUMER-75][国产剧]北海风云...未绑定分类，跳过。
[2017-10-21 11:42:16,726] [WARNING] [CONSUMER-76][国产剧]破晓...未绑定分类，跳过。
[2017-10-21 11:42:16,726] [WARNING] [CONSUMER-77][国产剧]卧底...未绑定分类，跳过。
[2017-10-21 11:42:16,730] [INFO] [CONSUMER-78][剧情片]隐藏人物...新加入库，成功。
[2017-10-21 11:42:16,732] [WARNING] [CONSUMER-79][国产剧]掩护...未绑定分类，跳过。
[2017-10-21 11:42:16,732] [WARNING] [CONSUMER-80][国产剧]黎明之前...未绑定分类，跳过。
[2017-10-21 11:42:16,733] [DEBUG] [PRODUCER-qiyi]page:4:crawling finished.
[2017-10-21 11:42:16,733] [INFO] [PRODUCER-qiyi]采集次数:80,新增入库:7条,新增加播放组:2条,更新播放组:0条。
[2017-10-21 11:42:16,733] [DEBUG] [PRODUCER-qiyi]page:5:crawling...http://api.2m.vc/caij/inc/qiyi.php?ac=videolist&pg=5&h=
[2017-10-21 11:42:17,111] [WARNING] [CONSUMER-81][国产剧]错伏...未绑定分类，跳过。
[2017-10-21 11:42:17,111] [WARNING] [CONSUMER-82][国产剧]生死谍恋...未绑定分类，跳过。
[2017-10-21 11:42:17,114] [WARNING] [CONSUMER-83][国产剧]密战太阳山...未绑定分类，跳过。
[2017-10-21 11:42:17,119] [INFO] [CONSUMER-84][剧情片]东北往事之再见江湖...新加入库，成功。
[2017-10-21 11:42:17,121] [WARNING] [CONSUMER-85][国产剧]使命...未绑定分类，跳过。
[2017-10-21 11:42:17,121] [WARNING] [CONSUMER-86][国产剧]代号九耳犬...未绑定分类，跳过。
[2017-10-21 11:42:17,124] [WARNING] [CONSUMER-87][国产剧]花间提壶方大厨第1季...未绑定分类，跳过。
